Year,Sector Economico,Codigo de Producto,Producto,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,TOTAL
2024,Total OTROS 1/,8414809000,LOS DEMAS COMPRESORES,0,0,2179.75,0,0,0,0,0,0,0,0,0,2179.75
2024,Total OTROS 1/,7019900000,LAS DEMÁS FIBRA DE VIDRIO (INCLUIDA LA LANA DE VIDRIO) Y MANUFACTURAS DE ESTA MATERIA,0,0,1846.25,0,0,0,0,0,0,0,0,0,1846.25
2024,Total OTROS 1/,7326909000,LAS DEMAS MANUFACTURAS DE HIERRO O ACERO,0,0,1846.25,0,0,0,0,0,0,0,0,0,1846.25
2024,Total OTROS 1/,8311100000,"ELECTRODOS  RECUBIERTOS  PARA  SOLDADURA DE ARCO,  DE  METAL  COMUN",0,0,1846.25,0,0,0,0,0,0,0,0,0,1846.25
2024,Total OTROS 1/,7315900000,LAS DEMAS PARTES DE CADENAS DE FUNDICION DE HIERRO O ACERO,0,0,1846.25,0,0,0,0,0,0,0,0,0,1846.25
2024,Total OTROS 1/,8421399000,LOS DEMAS APARATOS PARA FILTRAR O DEPURAR GASES.,0,0,211.25,0,0,0,0,0,0,0,0,0,211.25
2024,Total OTROS 1/,3816000000,AGLOMERADO DE DOLOMITA,0,0,40,0,0,0,0,0,0,0,0,0,40
2024,Total PRODUCTOS TRADICIONALES,1701120000,AZUCAR DE REMOLACHA EN BRUTO SIN ADICION DE AROMATIZANTE NI COLORANTE,0,1604.65,0,0,0,0,0,0,0,0,0,0,1604.65
2024,Total PRODUCTOS TRADICIONALES,2606000000,MINERALES DE ALUMINIO Y SUS CONCENTRADOS,0,0.001,0,0,0,0,0,0,0,0,0,0,0.001
2024,Total PRODUCTOS TRADICIONALES,2710192111,DIESEL 2 CON UN CONTENIDO DE AZUFRE MENOR O IGUAL A 50 PPM,0,5956473.71,0,0,0,0,0,0,0,0,0,0,5956473.71
2024,Total PRODUCTOS TRADICIONALES,5201001000,"ALGODÓN S/CARDAR NI PEINAR, DE LONGITUD DE FIBRA SUPERIOR  A 3492 MM (1 3/8 PULGADA)",0,98974.97,0,0,0,0,0,0,0,0,0,0,98974.97
2024,Total PRODUCTOS TRADICIONALES,5201002000,"ALGODÓN S/CARDAR NI PEINAR, DE LONG FIBRA > 2857 MM (1 1/8) PERO <= 3492 MM (1 3/8)",0,82790.84,0,0,0,0,0,0,0,0,0,0,82790.84
2024,Total OTROS 1/,2710192111,DIESEL 2 CON UN CONTENIDO DE AZUFRE MENOR O IGUAL A 50 PPM,0,61677.62,0,0,0,0,0,0,0,0,0,0,61677.62
2024,Total OTROS 1/,407900000,LOS DEMAS HUEVOS DE AVE CONSERVADOS O COCIDOS,0,18696.6,0,0,0,0,0,0,0,0,0,0,18696.6
2024,Total OTROS 1/,5607500000,CORDELES. CUERDAS Y CORDAJES DE LAS DEMAS FIBRAS SINTETICAS,0,15502.32,0,0,0,0,0,0,0,0,0,0,15502.32
2024,Total OTROS 1/,804300000,PIÑAS TROPICALES (ANANAS) FRESCAS O SECAS,0,14135.5,0,0,0,0,0,0,0,0,0,0,14135.5
2024,Total OTROS 1/,804502000,"MANGOS Y MANGOSTANES, FRESCOS O SECOS",0,10589.9,0,0,0,0,0,0,0,0,0,0,10589.9
2024,Total OTROS 1/,701900000,"LAS DEMAS PAPAS (PATATAS), FRESCAS O REFRIGERADAS",0,4900,0,0,0,0,0,0,0,0,0,0,4900
2024,Total OTROS 1/,1101000000,HARINA DE TRIGO O DE MORCAJO (TRANQUILLON).,0,4412.54,0,0,0,0,0,0,0,0,0,0,4412.54
2024,Total OTROS 1/,709300000,"BERENJENAS, FRESCOS O REFRIGERADOS",0,4220.65,0,0,0,0,0,0,0,0,0,0,4220.65
2024,Total OTROS 1/,304740090,LOS DEMÁS FILETES DE MERLUZA CONGELADOS,0,3244.76,0,0,0,0,0,0,0,0,0,0,3244.76
2024,Total OTROS 1/,8302490000,"DEMAS GUARNICIONES, HERRAJES Y ART. SIMILARES, DE METAL COMUN",0,1925.1,0,0,0,0,0,0,0,0,0,0,1925.1
2024,Total OTROS 1/,8526910000,LOS DEMAS  APARATOS DE RADIONAVEGACION,0,950,0,0,0,0,0,0,0,0,0,0,950
